Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
429,MaxAbs,MDS,euclidean,89590,0.2933151079412552,0.4835237331860016,0.0515532413482544
430,Standard,MDS,correlation,34014,0.5024507922190241,0.26997097586363966,0.36746530428720425
431,MinMax,Spectral,correlation,37090,0.4399684023843508,0.3881276324846936,0.245904586142004
432,MaxAbs,Spectral,correlation,44465,0.42699320083074804,0.38891735992000626,0.23253452087074492
434,Robust,MDS,euclidean,64060,0.1896782180314668,0.7529127307202187,-0.18677814732864254
435,Robust,Isomap,euclidean,77457,0.24199367727638185,0.6926456235385388,-0.10432913449288753
437,MinMax,Isomap,manhattan,83988,0.2815772504695674,0.5143788940608315,0.024387803439151645
438,Standard,Spectral,euclidean,76420,0.4997584587815099,0.17032225086336303,0.41459733334982835
440,MaxAbs,Isomap,cosine,850,0.5375926097898723,0.31587540421006344,0.3796549076848406
444,Standard,Isomap,euclidean,34606,0.3697724392470274,0.446516293169271,0.1465142926623919
445,MaxAbs,MDS,euclidean,89338,0.2834055186418109,0.4894431660132832,0.03868393563516931
451,Robust,Isomap,cosine,83280,0.4686229082924625,0.40895473357559853,0.26414554150466324
453,MaxAbs,Spectral,correlation,24224,0.31856105213132063,0.2805062088379455,0.17830794771234787
456,MinMax,MDS,euclidean,14044,0.2582830344435713,0.5378298132701204,-0.010631872191488867
457,Standard,Isomap,correlation,86150,0.5648569492790197,0.22503590736377252,0.4523389955971335
462,Standard,MDS,euclidean,88490,0.25283409407772817,0.5482319043783876,-0.021281858111465657
463,MaxAbs,MDS,manhattan,7907,0.24957301847049482,0.6286925448648151,-0.06477325396191272
465,MaxAbs,Spectral,cosine,56519,0.42368282554971454,0.45843094528371564,0.19446735290785672
468,Robust,Spectral,cosine,39163,0.46268481952915214,0.19482233985341657,0.36527364960244385
469,Standard,Isomap,cosine,4770,0.4047985830066727,0.4345198257108316,0.18753867015125691
470,MinMax,Isomap,correlation,49833,0.4392173162464052,0.29111800980404984,0.29365831134438025
472,MinMax,MDS,manhattan,8766,0.25706184655537134,0.5351024325962545,-0.010489369742755883
473,Standard,MDS,cosine,77965,0.38153354146429996,0.42955371402164944,0.16675668445347525
475,MinMax,Isomap,euclidean,37214,0.25350989063976914,0.6486574595292411,-0.07081883912485143
477,Standard,Spectral,euclidean,40769,0.24445282584900638,0.37387602852663404,0.05751481158568936
478,MinMax,Spectral,cosine,88621,0.45843156317340855,0.3989633778507198,0.25894987424804866
479,MaxAbs,MDS,manhattan,77438,0.2871093757764846,0.5999139496302632,-0.012847599038647017
481,MaxAbs,Isomap,cosine,46643,0.5375926097898723,0.31587540421006344,0.3796549076848406
482,Robust,Spectral,correlation,10210,0.5575993534886624,0.27215073046357113,0.42152398825687687
483,MinMax,Isomap,cosine,97713,0.3834159963583554,0.47265400655293094,0.1470889930818899
485,MaxAbs,Spectral,manhattan,47699,0.4667830899497214,0.3781610105932243,0.27770258465310926
488,Robust,Isomap,correlation,29666,0.6788970550490973,0.1559183911588814,0.6009378594696566
489,MinMax,Isomap,euclidean,41514,0.23365126851899878,0.575336335185499,-0.05401689907375071
490,MinMax,Isomap,manhattan,35954,0.2327172032988656,0.5742980138807536,-0.054431803641511206
491,Standard,MDS,correlation,97686,0.4921267937863914,0.27689055816783453,0.3536815147024741
492,Robust,MDS,euclidean,99092,0.17951346435316004,0.773207799788093,-0.20709043554088644
494,MinMax,Spectral,cosine,38927,0.26275595067665275,0.6064811796533511,-0.040484639150022816
496,Standard,Spectral,manhattan,52212,0.21653176176602862,0.683405244162392,-0.1251708603151674
497,MaxAbs,Isomap,euclidean,34976,0.26319954278138175,0.5013465924021255,0.012526246580318978
498,Standard,Spectral,manhattan,21167,0.37351638705443957,0.25442724963681157,0.24630276223603378
499,MinMax,MDS,manhattan,24043,0.25445044232832537,0.5371464207867663,-0.0141227680650578
500,MaxAbs,Isomap,manhattan,92121,0.2625424755238232,0.6064548441498699,-0.04068494655111177
501,Robust,Spectral,euclidean,36185,0.580121077730741,0.0645094769377728,0.5478663392618546
503,Standard,Spectral,cosine,92834,0.3732055343436114,0.4546806747101491,0.14586519698853687
504,MinMax,Spectral,euclidean,75246,0.4884716737661598,0.5205642766237469,0.22818953545428633
506,MaxAbs,Isomap,euclidean,57826,0.4336109039140761,0.38888695027849357,0.2391674287748293
